ngram,n,predicted,first
"",132913,"",
thanks for the follow,3107,follow,thanks for the
the end of the,2492,the,the end of
the rest of the,2355,the,the rest of
at the end of,2145,of,at the end
for the first time,1857,time,for the first
is going to be,1750,be,is going to
at the same time,1742,time,at the same
thanks for the rt,1699,rt,thanks for the
thank you for the,1651,the,thank you for
can't wait to see,1496,see,can't wait to
if you want to,1422,to,if you want
in the middle of,1408,of,in the middle
when it comes to,1406,to,when it comes
is one of the,1387,the,is one of
going to be a,1359,a,going to be
thank you so much,1358,much,thank you so
one of the most,1340,most,one of the
to be able to,1290,to,to be able
i am going to,1219,to,i am going
one of the best,1084,best,one of the
i can't wait to,1039,to,i can't wait
one of my favorite,1029,favorite,one of my
i would like to,997,to,i would like
i don't want to,978,to,i don't want
i was going to,955,to,i was going
i wish i could,933,could,i wish i
have a great day,830,day,have a great
what do you think,828,think,what do you
i would love to,827,to,i would love
for the rest of,815,of,for the rest
hope to see you,789,you,hope to see
to go to the,788,the,to go to
a bit of a,785,a,a bit of
on the other hand,773,hand,on the other
the middle of the,771,the,the middle of
thanks so much for,764,for,thanks so much
i have no idea,733,idea,i have no
on my way to,730,to,on my way
are you going to,727,to,are you going
i want to be,725,be,i want to
have a great weekend,723,weekend,have a great
the top of the,716,the,the top of
as much as i,714,i,as much as
i just want to,712,to,i just want
it's going to be,689,be,it's going to
i have to say,682,say,i have to
let me know if,671,if,let me know
had a great time,670,time,had a great
i was able to,667,to,i was able
was one of the,660,the,was one of
as well as the,654,the,as well as
a lot of people,637,people,a lot of
by the end of,634,of,by the end
i thought it was,623,was,i thought it
thanks for the mention,610,mention,thanks for the
hope you have a,605,a,hope you have
i look forward to,589,to,i look forward
will be able to,574,to,will be able
i don't know what,573,what,i don't know
if you have a,572,a,if you have
i feel like i,568,i,i feel like
in front of the,567,the,in front of
the bottom of the,567,the,the bottom of
so much for the,561,the,so much for
do you have a,559,a,do you have
thanks for the ff,556,ff,thanks for the
for a long time,552,time,for a long
in the first place,551,place,in the first
have a lot of,549,of,have a lot
going to have to,545,to,going to have
looking forward to the,541,the,looking forward to
to get out of,541,of,to get out
thank you for your,538,your,thank you for
there are so many,537,many,there are so
that awkward moment when,532,when,that awkward moment
the first time in,530,in,the first time
you so much for,524,for,you so much
as soon as i,522,i,as soon as
most of the time,513,time,most of the
a little bit of,511,of,a little bit
was going to be,509,be,was going to
in the united states,498,states,in the united
the best way to,495,to,the best way
i need to get,494,get,i need to
i wish i had,493,had,i wish i
nothing to do with,493,with,nothing to do
a great way to,491,to,a great way
looking forward to seeing,491,seeing,looking forward to
is one of my,484,my,is one of
to go back to,483,to,to go back
we are going to,481,to,we are going
at the top of,479,of,at the top
trying to figure out,477,out,trying to figure
i dont want to,476,to,i dont want
the first time i,473,i,the first time
what are you doing,473,doing,what are you
the fact that i,467,i,the fact that
do you want to,461,to,do you want
i wish i was,458,was,i wish i
the back of the,457,the,the back of
on the other side,456,side,on the other
are going to be,455,be,are going to
you don't have to,452,to,you don't have
looking forward to it,451,it,looking forward to
when i was a,450,a,when i was
did you know that,447,that,did you know
for the shout out,445,out,for the shout
for those of you,445,you,for those of
be a part of,443,of,be a part
end of the day,443,day,end of the
thanks for the shout,442,shout,thanks for the
i don't know if,440,if,i don't know
you have a great,437,great,you have a
for the most part,424,part,for the most
hope all is well,424,well,hope all is
to do with the,424,the,to do with
as a result of,422,of,as a result
this is one of,422,of,this is one
to be in the,422,the,to be in
to get back to,418,to,to get back
i want to go,412,go,i want to
on the way to,411,to,on the way
those of you who,411,who,those of you
wait to see you,411,you,wait to see
a few years ago,410,ago,a few years
i had no idea,410,idea,i had no
i want to do,410,do,i want to
in front of me,409,me,in front of
the other side of,408,of,the other side
can't wait for the,404,the,can't wait for
it would be a,404,a,it would be
me know if you,404,you,me know if
if you have any,402,any,if you have
i love you so,399,so,i love you
want to go to,399,to,want to go
in the midst of,398,of,in the midst
the beginning of the,396,the,the beginning of
you are going to,395,to,you are going
it was a great,393,great,it was a
a lot of fun,392,fun,a lot of
a few weeks ago,390,ago,a few weeks
a lot of time,387,time,a lot of
in the form of,387,of,in the form
would love to see,386,see,would love to
have no idea what,384,what,have no idea
i really want to,382,to,i really want
love you so much,382,much,love you so
the fact that the,380,the,the fact that
you want to be,380,be,you want to
a couple of weeks,376,weeks,a couple of
figure out how to,376,to,figure out how
you would like to,376,to,you would like
can i get a,375,a,can i get
know what to do,374,do,know what to
hope you had a,373,a,hope you had
thought it would be,373,be,thought it would
this is going to,371,to,this is going
for a couple of,367,of,for a couple
i don't know how,367,how,i don't know
take a look at,367,at,take a look
a lot of the,365,the,a lot of
happy mothers day to,365,to,happy mothers day
turned out to be,365,be,turned out to
thank you for following,363,following,thank you for
you have to do,363,do,you have to
i can't wait for,362,for,i can't wait
as you can see,359,see,as you can
