ngram,n,predicted,first
"",61398,"",
thanks for the,11935,the,thanks for
one of the,10607,the,one of
a lot of,9742,of,a lot
i want to,6633,to,i want
to be a,6596,a,to be
going to be,6274,be,going to
i have a,5337,a,i have
i have to,5233,to,i have
looking forward to,5222,to,looking forward
it was a,5166,a,it was
thank you for,5162,for,thank you
the end of,4846,of,the end
out of the,4786,the,out of
be able to,4685,to,be able
i love you,4618,you,i love
i need to,4539,to,i need
some of the,4291,the,some of
the rest of,4101,of,the rest
can't wait to,4097,to,can't wait
as well as,4091,as,as well
one of my,4004,my,one of
is going to,3912,to,is going
for the follow,3901,follow,for the
you want to,3888,to,you want
a couple of,3747,of,a couple
there is a,3619,a,there is
this is a,3597,a,this is
part of the,3591,the,part of
the fact that,3553,that,the fact
to go to,3531,to,to go
you have to,3390,to,you have
in the world,3371,world,in the
you have a,3359,a,you have
i'm going to,3338,to,i'm going
i don't know,3279,know,i don't
this is the,3227,the,this is
if you are,3226,are,if you
it is a,3201,a,it is
i had to,3195,to,i had
i think i,3182,i,i think
i have been,3168,been,i have
the first time,3153,time,the first
have a great,3143,great,have a
i had a,3127,a,i had
it would be,3092,be,it would
end of the,3021,the,end of
to have a,2988,a,to have
there is no,2872,no,there is
all of the,2843,the,all of
i will be,2826,be,i will
when i was,2822,was,when i
to see you,2813,you,to see
of the day,2795,day,of the
i feel like,2792,like,i feel
let me know,2774,know,let me
at the end,2747,end,at the
i wanted to,2710,to,i wanted
is one of,2704,of,is one
if you have,2691,have,if you
i am not,2647,not,i am
if you want,2561,want,if you
in order to,2530,to,in order
in front of,2525,of,in front
want to be,2509,be,want to
back to the,2482,the,back to
i wish i,2472,i,i wish
to see the,2459,the,to see
rest of the,2458,the,rest of
to be the,2451,the,to be
you need to,2430,to,you need
for the first,2403,first,for the
to make a,2371,a,to make
most of the,2348,the,most of
a bit of,2344,of,a bit
it will be,2342,be,it will
would like to,2282,to,would like
to do with,2275,with,to do
what do you,2270,you,what do
to get a,2267,a,to get
one of those,2259,those,one of
was going to,2193,to,was going
for the rt,2177,rt,for the
would love to,2166,to,would love
and i have,2121,have,and i
as much as,2111,as,as much
we need to,2108,to,we need
do you think,2104,think,do you
i love the,2091,the,i love
all the time,2090,time,all the
i hope you,2073,you,i hope
are going to,2068,to,are going
have to be,2066,be,have to
go to the,2062,the,go to
at the same,2053,same,at the
i don't think,2052,think,i don't
so i can,2049,can,so i
i know i,2034,i,i know
in the morning,2031,morning,in the
you so much,2017,much,you so
there was a,2009,a,there was
i can't wait,1994,wait,i can't
that i have,1975,have,that i
of the year,1974,year,of the
wait to see,1974,see,wait to
to make it,1936,it,to make
in the middle,1931,middle,in the
the same time,1929,time,the same
and it was,1914,was,and it
do you have,1913,have,do you
as long as,1907,as,as long
look forward to,1902,to,look forward
we have a,1897,a,we have
i am so,1894,so,i am
i have no,1890,no,i have
i am a,1855,a,i am
in my life,1853,life,in my
of the most,1850,most,of the
don't want to,1841,to,don't want
and i am,1819,am,and i
a great day,1811,day,a great
you for the,1809,the,you for
thanks for following,1802,following,thanks for
to be in,1779,in,to be
need to be,1769,be,need to
it is the,1767,the,it is
that i am,1755,am,that i
to get the,1753,the,to get
so much for,1751,for,so much
not going to,1750,to,not going
had a great,1747,great,had a
for me to,1738,to,for me
how are you,1733,you,how are
a little bit,1729,bit,a little
i was a,1723,a,i was
and i was,1690,was,and i
to take a,1686,a,to take
thanks so much,1685,much,thanks so
it was the,1683,the,it was
a long time,1676,time,a long
the middle of,1674,of,the middle
to do it,1668,it,to do
for a while,1664,while,for a
is not a,1662,a,is not
i would have,1661,have,i would
is the best,1660,best,is the
i don't have,1644,have,i don't
of the best,1640,best,of the
in love with,1638,with,in love
it is not,1638,not,it is
i decided to,1625,to,i decided
of the world,1623,world,of the
wish i could,1622,could,wish i
i need a,1621,a,i need
what are you,1607,you,what are
i used to,1603,to,i used
that would be,1598,be,that would
in the first,1591,first,in the
i was in,1587,in,i was
check it out,1586,out,check it
when it comes,1579,comes,when it
be sure to,1575,to,be sure
would be a,1572,a,would be
how do you,1565,you,how do
i went to,1563,to,i went
can't wait for,1560,for,can't wait
will be a,1557,a,will be
on the other,1555,other,on the
a bunch of,1554,of,a bunch
in the same,1553,same,in the
if you don't,1547,don't,if you
i dont know,1546,know,i dont
in the past,1543,past,in the
looking for a,1540,a,looking for
that i was,1539,was,that i
i think it,1528,it,i think
that it is,1526,is,that it
i love it,1524,it,i love
as soon as,1514,as,as soon
of my life,1513,life,of my
up in the,1513,the,up in
side of the,1494,the,side of
a chance to,1487,to,a chance
the united states,1487,states,the united
need to get,1472,get,need to
thank you so,1471,so,thank you
would have been,1469,been,would have
at the time,1463,time,at the
i know that,1456,that,i know
it comes to,1453,to,it comes
there will be,1449,be,there will
of my favorite,1441,favorite,of my
but it was,1436,was,but it
a part of,1434,of,a part
is in the,1427,the,is in
for a few,1420,few,for a
that it was,1410,was,that it
i don't want,1405,want,i don't
to make the,1397,the,to make
going to the,1394,the,going to
but it is,1393,is,but it
seems to be,1386,be,seems to
have to do,1381,do,have to
the top of,1381,of,the top
i am going,1380,going,i am
i miss you,1380,you,i miss
to say that,1377,that,to say
for the next,1376,next,for the
i do not,1375,not,i do
what to do,1375,do,what to
but i think,1373,think,but i
know how to,1367,to,know how
i think the,1365,the,i think
and it is,1361,is,and it
is a great,1359,great,is a
on the way,1357,way,on the
trying to get,1352,get,trying to
back in the,1351,the,back in
the only one,1349,one,the only
to all the,1348,the,to all
look at the,1346,the,look at
we had a,1345,a,we had
we will be,1342,be,we will
you can see,1339,see,you can
to get to,1338,to,to get
because of the,1335,the,because of
go back to,1332,to,go back
we have to,1329,to,we have
have a good,1328,good,have a
i got a,1327,a,i got
in the s,1323,s,in the
want to go,1323,go,want to
you know what,1321,what,you know
and i will,1319,will,and i
a great time,1316,time,a great
check out the,1306,the,check out
it has been,1303,been,it has
to be able,1301,able,to be
but i have,1288,have,but i
to see what,1283,what,to see
out of my,1266,my,out of
all the way,1265,way,all the
am going to,1265,to,am going
up to the,1250,the,up to
a few days,1245,days,a few
for all the,1245,the,for all
i like to,1243,to,i like
this is not,1241,not,this is
i thought i,1239,i,i thought
i would like,1239,like,i would
is a good,1239,good,is a
let us know,1231,know,let us
have no idea,1226,idea,have no
to talk to,1225,to,to talk
at a time,1222,time,at a
in the end,1218,end,in the
was one of,1216,of,was one
supposed to be,1212,be,supposed to
to make sure,1212,sure,to make
top of the,1206,the,top of
a way to,1202,to,a way
at this point,1199,point,at this
but i am,1199,am,but i
please follow me,1199,me,please follow
it in the,1198,the,it in
it to the,1196,the,it to
according to the,1190,the,according to
on top of,1189,of,on top
has been a,1186,a,has been
i think that,1185,that,i think
be a good,1184,good,be a
to see if,1184,if,to see
and of course,1183,course,and of
the same thing,1181,thing,the same
want to see,1180,see,want to
do you know,1170,know,do you
that i had,1170,had,that i
in the us,1166,us,in the
you are a,1165,a,you are
i was going,1164,going,i was
want to do,1155,do,want to
on my way,1154,way,on my
to find a,1154,a,to find
will have to,1154,to,will have
a number of,1150,of,a number
be in the,1148,the,be in
to figure out,1148,out,to figure
to find out,1147,out,to find
you know that,1141,that,you know
all over the,1140,the,all over
you will be,1137,be,you will
if you can,1135,can,if you
i thought it,1134,it,i thought
was able to,1133,to,was able
needs to be,1128,be,needs to
i just want,1126,want,i just
going to have,1125,have,going to
i love my,1125,my,i love
the back of,1124,of,the back
get out of,1122,of,get out
just want to,1121,to,just want
the only thing,1121,thing,the only
by the way,1120,way,by the
one of them,1118,them,one of
in the last,1115,last,in the
and i think,1113,think,and i
more than a,1112,a,more than
the idea of,1112,of,the idea
a good day,1111,day,a good
i would love,1111,love,i would
of the time,1111,time,of the
have to go,1105,go,have to
im going to,1096,to,im going
i was just,1095,just,i was
of all the,1092,the,of all
went to the,1092,the,went to
have to say,1091,say,have to
for you to,1088,to,for you
no matter what,1084,what,no matter
i get to,1082,to,i get
that i can,1082,can,that i
to get my,1082,my,to get
has to be,1080,be,has to
a great weekend,1075,weekend,a great
in my head,1072,head,in my
thought it was,1071,was,thought it
the name of,1070,of,the name
i would be,1068,be,i would
i love that,1066,that,i love
and in the,1064,the,and in
did you know,1062,know,did you
thank you to,1060,to,thank you
that is the,1051,the,that is
the way to,1051,to,the way
to talk about,1051,about,to talk
hope to see,1048,see,hope to
you can do,1042,do,you can
will be the,1039,the,will be
in a few,1036,few,in a
i did not,1032,not,i did
this is what,1032,what,this is
to look at,1030,at,to look
i wonder if,1028,if,i wonder
is not the,1028,the,is not
to do a,1028,a,to do
don't have to,1027,to,don't have
no matter how,1027,how,no matter
as far as,1025,as,as far
away from the,1025,the,away from
going to get,1024,get,going to
the time to,1022,to,the time
don't know what,1021,what,don't know
i have the,1021,the,i have
a few weeks,1018,weeks,a few
shout out to,1018,to,shout out
a little more,1017,more,a little
i'm not sure,1016,sure,i'm not
some of my,1016,my,some of
that was a,1016,a,that was
the beginning of,1013,of,the beginning
to do the,1013,the,to do
and if you,1003,you,and if
every time i,1001,i,every time
up with a,1000,a,up with
was in the,1000,the,was in
in new york,995,york,in new
i like the,991,the,i like
i can do,990,do,i can
there are a,990,a,there are
used to be,990,be,used to
at the moment,989,moment,at the
i think it's,989,it's,i think
out in the,989,the,out in
in the next,986,next,in the
happy birthday to,983,to,happy birthday
to meet you,983,you,to meet
come up with,982,with,come up
is that the,979,the,is that
that you can,976,can,that you
in the future,974,future,in the
there was no,973,no,there was
in terms of,972,of,in terms
the bottom of,972,of,the bottom
of the week,970,week,of the
up on the,970,the,up on
is the only,968,only,is the
what is the,965,the,what is
feel free to,964,to,feel free
i can get,960,get,i can
is the most,959,most,is the
and this is,957,is,and this
in the house,956,house,in the
take care of,955,of,take care
that they are,955,are,that they
by the time,954,time,by the
