ngram,n,predicted,first
of the,128755,the,of
in the,123099,the,in
for the,68838,the,for
to the,67619,the,to
on the,64831,the,on
to be,59168,be,to
at the,44496,the,at
i have,39652,have,i
and the,38687,the,and
i was,37971,was,i
is a,37136,a,is
i am,36068,am,i
in a,36031,a,in
and i,35943,i,and
it was,34966,was,it
it is,33261,is,it
with the,33055,the,with
for a,32835,a,for
if you,31921,you,if
have a,30199,a,have
going to,30063,to,going
is the,28021,the,is
will be,27521,be,will
to get,27107,get,to
from the,26402,the,from
want to,25201,to,want
with a,24969,a,with
that i,24915,i,that
of a,24402,a,of
one of,24394,of,one
i love,24252,love,i
i think,23733,think,i
have to,23667,to,have
this is,23593,is,this
to see,22770,see,to
but i,22472,i,but
thanks for,22366,for,thanks
to do,22361,do,to
all the,20920,the,all
of my,20620,my,of
you are,20205,are,you
you can,19960,can,you
as a,19918,a,as
out of,19804,of,out
in my,19426,my,in
thank you,19396,you,thank
was a,19388,a,was
when i,18797,i,when
need to,18570,to,need
i can,18563,can,i
i had,18324,had,i
i don't,18209,don't,i
by the,17788,the,by
that the,17692,the,that
i know,17688,know,i
the same,17644,same,the
you have,17554,have,you
a great,17465,great,a
be a,17204,a,be
on a,17163,a,on
and a,17151,a,and
to make,16838,make,to
a few,16784,few,a
i just,16773,just,i
the first,16593,first,the
to go,16420,go,to
a lot,16361,lot,a
to a,16086,a,to
a little,15947,little,a
we are,15807,are,we
a good,15660,good,a
have been,15652,been,have
the best,15619,best,the
i will,15465,will,i
so i,15387,i,so
would be,14945,be,would
do you,14712,you,do
to have,14625,have,to
so much,14574,much,so
had a,14544,a,had
they are,14385,are,they
on my,14377,my,on
that is,14057,is,that
there is,14056,is,there
about the,13972,the,about
are you,13835,you,are
i would,13477,would,i
like a,13431,a,like
is not,13176,not,is
the world,12872,world,the
if i,12767,i,if
you know,12601,know,you
has been,12507,been,has
we have,12227,have,we
i want,12165,want,i
there are,12137,are,there
to me,11980,me,to
for me,11971,me,for
into the,11805,the,into
as the,11683,the,as
back to,11546,to,back
all of,11484,of,all
trying to,11439,to,trying
when you,11349,you,when
he was,11304,was,he
and then,11301,then,and
a new,11261,new,a
to my,11252,my,to
the most,11194,most,the
"",10985,"",""
i could,10754,could,i
the way,10644,way,the
time to,10591,to,time
right now,10563,now,right
is that,10491,that,is
go to,10477,to,go
what i,10312,i,what
lot of,10239,of,lot
